"Specific conductance, water, unfiltered, microsiemens per centimeter at 25&#176;C(uS/cm @25C)","Streamflow, ft&#179;/s(ft3/s)","Temperature, water, &#176;C(deg C)","Wind direction, degrees clockwise from north(Deg)","Wind speed, mph(mph)"
,,15.2,,
,,15.2,,
19400.0,,16.0,,
29500.0,,16.2,,
18800.0,,15.4,,
,,15.2,,
,,15.2,,
,,15.2,,
,,15.2,,
19000.0,,15.9,,
29300.0,,16.0,,
18700.0,,15.2,,
,,15.2,,
,,15.2,,
,,15.2,,
,,15.2,,
17900.0,,15.8,,
29200.0,,15.5,,
18800.0,,14.6,,
,,15.2,,
,,15.2,,
,,15.2,,
,,15.2,,
17000.0,,15.8,,
29300.0,,15.1,,
18800.0,,14.2,,
,,15.2,,
,,15.2,,
,,15.2,,
,,15.1,,
16700.0,,15.8,,
29300.0,,14.3,,
19000.0,,14.1,,
,,15.1,,
,,15.1,,
,,15.1,,
,,15.1,,
15600.0,,15.5,,
29300.0,,13.6,,
19000.0,,13.9,,
,,15.1,,
,,15.1,,
,,15.0,,
,,15.0,,
14700.0,,15.3,,
29300.0,,12.9,,
19100.0,,13.5,,
,,15.0,,
,,15.0,,
,,15.0,,
,,15.0,,
14000.0,,15.2,,
29500.0,,12.4,,
19100.0,,13.3,,
,,15.0,,
,,14.9,,
,,14.9,,
,,14.9,,
13400.0,,14.9,,
29600.0,,11.8,,
19000.0,,12.9,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
12900.0,,14.8,,
29600.0,,11.8,,
18800.0,,12.6,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
12600.0,,14.7,,
29800.0,,11.4,,
18900.0,,12.5,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
12300.0,,14.8,,
29500.0,,12.1,,
18900.0,,12.5,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
11100.0,,14.8,,
29300.0,,12.9,,
18900.0,,12.7,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
11300.0,,15.0,,
29300.0,,13.4,,
18900.0,,13.0,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
11800.0,,15.0,,
29400.0,,13.8,,
18900.0,,13.1,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
12400.0,,15.1,,
29400.0,,13.9,,
18500.0,,13.0,,
,,14.9,,
,,14.9,,
,,14.9,,
,,14.9,,
13000.0,,15.0,,
29500.0,,13.2,,
18400.0,,13.1,,
,,14.9,,
,,14.8,,
,,14.8,,
,,14.8,,
14000.0,,14.8,,
29500.0,,13.4,,
18300.0,,13.0,,
,,14.8,,
,,14.8,,
,,14.7,,
,,14.7,,
14900.0,,14.7,,
29600.0,,13.9,,
18300.0,,12.8,,
,,14.7,,
,,14.7,,
,,14.6,,
,,14.6,,
15800.0,,14.6,,
29900.0,,13.9,,
18200.0,,12.8,,
,,14.6,,
,,14.6,,
,,14.5,,
,,14.5,,
16900.0,,14.3,,
29800.0,,14.0,,
18200.0,,12.6,,
,,14.5,,
,,14.5,,
,,14.4,,
,,14.4,,
17400.0,,14.2,,
30000.0,,13.9,,
18300.0,,12.6,,
,,14.4,,
,,14.4,,
,,14.3,,
,,14.3,,
18800.0,,14.1,,
29900.0,,13.8,,
18700.0,,12.8,,
,,14.3,,
,,14.3,,
,,14.2,,
,,14.2,,
20800.0,,13.9,,
29900.0,,13.6,,
18700.0,,12.6,,
,,14.2,,
,,14.2,,
,,14.1,,
,,14.1,,
21800.0,,14.0,,
29900.0,,13.2,,
18700.0,,12.5,,
,,14.1,,
,,14.1,,
,,14.0,,
,,14.0,,
22100.0,,13.9,,
29900.0,,13.0,,
18700.0,,12.4,,
,,14.0,,
,,14.0,,
,,13.9,,
,,13.9,,
21700.0,,13.6,,
29900.0,,12.8,,
18700.0,,12.2,,
,,13.9,,
,,13.9,,
,,13.8,,
,,13.8,,
21800.0,,13.6,,
30000.0,,12.6,,
18700.0,,12.0,,
,,13.8,,
,,13.8,,
,,13.8,,
,,13.7,,
20300.0,,13.5,,
30000.0,,12.3,,
18700.0,,11.7,,
,,13.7,,
,,13.7,,
,,13.6,,
,,13.6,,
19500.0,,13.5,,
30100.0,,12.5,,
18700.0,,11.6,,
,,13.6,,
,,13.6,,
,,13.5,,
,,13.5,,
16900.0,,13.1,,
30100.0,,12.2,,
18800.0,,11.7,,
,,13.5,,
,,13.4,,
,,13.4,,
,,13.4,,
16000.0,,13.3,,
30100.0,,12.0,,
18900.0,,11.6,,
,,13.4,,
,,13.4,,
,,13.3,,
,,13.3,,
16900.0,,13.3,,
30100.0,,11.8,,
18900.0,,11.3,,
,,13.3,,
,,13.3,,
,,13.2,,
,,13.2,,
16900.0,,13.5,,
30000.0,,11.9,,
18800.0,,11.0,,
,,13.2,,
,,19.3,,
,,13.2,,
,,13.2,,
,,13.2,,
15400.0,,13.6,,
30000.0,,12.1,,
18800.0,,10.9,,
,,13.2,,
,,13.2,,
,,13.2,,
,,13.2,,
14000.0,,13.6,,
30000.0,,12.5,,
18800.0,,11.5,,
,,13.1,,
,,19.3,,
,,13.1,,
,,13.2,,
,,13.2,,
13600.0,,13.9,,
30000.0,,13.0,,
18800.0,,12.3,,
,,13.1,,
,,13.2,,
,,13.1,,
,,13.2,,
13300.0,,14.4,,
29900.0,,13.6,,
18500.0,,13.2,,
,,13.1,,
,,19.3,,
,,13.1,,
,,13.1,,
,,13.2,,
13100.0,,14.6,,
30000.0,,14.2,,
18500.0,,14.0,,
,,13.1,,
,,19.3,,
,,13.1,,
,,13.1,,
,,13.1,,
13100.0,,14.6,,
29900.0,,14.5,,
18400.0,,13.7,,
,,13.1,,
,,19.3,,
,,13.1,,
,,13.1,,
,,13.0,,
12900.0,,14.7,,
30000.0,,14.6,,
18300.0,,13.8,,
,,13.0,,
,,19.3,,
,,13.0,,
,,12.9,,
,,12.9,,
13000.0,,14.2,,
30000.0,,14.2,,
17900.0,,13.9,,
,,12.9,,
,,19.3,,
,,12.9,,
,,12.8,,
,,12.8,,
15900.0,,13.7,,
30100.0,,13.3,,
17300.0,,13.7,,
,,12.8,,
,,19.3,,
,,12.7,,
,,12.7,,
,,12.7,,
17400.0,,13.7,,
30200.0,,13.4,,
17000.0,,13.5,,
,,12.6,,
,,19.3,,
,,12.6,,
,,12.6,,
,,12.5,,
18300.0,,13.9,,
30400.0,,13.8,,
17000.0,,13.5,,
,,12.5,,
,,19.3,,
,,12.5,,
,,12.4,,
,,12.4,,
18400.0,,14.0,,
30500.0,,13.8,,
17000.0,,13.3,,
,,12.4,,
,,19.3,,
,,12.3,,
,,12.3,,
,,12.3,,
19600.0,,14.2,,
30500.0,,13.7,,
17000.0,,13.2,,
,,12.2,,
,,19.3,,
,,12.2,,
,,12.2,,
,,12.2,,
21200.0,,14.2,,
30500.0,,13.6,,
17000.0,,13.1,,
,,12.1,,
,,19.3,,
,,12.1,,
,,12.1,,
,,12.0,,
22200.0,,14.0,,
17300.0,,13.3,,
,,12.0,,
,,19.3,,
,,12.0,,
,,12.0,,
,,11.9,,
24600.0,,13.9,,
17200.0,,13.2,,
,,11.9,,
,,19.3,,
,,11.9,,
,,11.9,,
,,11.8,,
25900.0,,13.9,,
17600.0,,13.2,,
,,11.8,,
,,19.3,,
,,11.8,,
,,11.8,,
,,11.8,,
23900.0,,13.4,,
17600.0,,13.0,,
,,11.8,,
,,19.3,,
,,11.7,,
,,11.7,,
,,11.7,,
23100.0,,13.3,,
17300.0,,12.7,,
,,11.6,,
,,19.3,,
,,11.6,,
,,11.6,,
,,11.6,,
21700.0,,13.2,,
17400.0,,12.5,,
,,11.6,,
,,19.3,,
,,11.6,,
,,11.5,,
,,11.5,,
21100.0,,13.1,,
17200.0,,12.1,,
,,11.5,,
,,19.3,,
,,11.5,,
,,11.5,,
,,11.4,,
20000.0,,12.9,,
17200.0,,11.8,,
,,11.4,,
,,19.3,,
,,11.4,,
,,11.4,,
,,11.3,,
18800.0,,12.9,,
17200.0,,11.7,,
,,11.3,,
,,19.3,,
,,11.3,,
,,11.3,,
,,11.3,,
19200.0,,13.3,,
17300.0,,11.6,,
,,11.3,,
,,19.3,,
,,11.3,,
,,11.3,,
,,11.3,,
21200.0,,13.7,,
17400.0,,11.8,,
,,11.3,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.2,,
18900.0,,13.8,,
17500.0,,12.2,,
,,11.2,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.2,,
17500.0,,13.8,,
17500.0,,12.8,,
,,11.2,,
,,19.3,,
,,11.2,,
,,11.1,,
,,11.1,,
16100.0,,13.9,,
17400.0,,13.2,,
,,11.1,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.1,,
15400.0,,13.8,,
17400.0,,13.3,,
,,11.1,,
,,19.3,,
,,11.2,,
,,11.1,,
,,11.1,,
15700.0,,13.8,,
17400.0,,13.8,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.0,,
15700.0,,13.7,,
17500.0,,13.0,,
,,11.0,,
,,11.0,,
,,11.0,,
,,10.9,,
15200.0,,13.6,,
17700.0,,12.7,,
,,10.9,,
,,10.9,,
,,10.8,,
,,10.8,,
14900.0,,13.4,,
17500.0,,12.5,,
,,10.8,,
,,10.8,,
,,10.7,,
,,10.7,,
14000.0,,13.1,,
17300.0,,12.0,,
,,10.7,,
,,10.6,,
,,10.6,,
,,10.6,,
12900.0,,12.7,,
17800.0,,11.6,,
,,10.5,,
,,10.5,,
,,10.5,,
,,10.4,,
11700.0,,12.4,,
18000.0,,11.1,,
,,10.4,,
,,10.3,,
,,10.3,,
,,10.3,,
10800.0,,12.2,,
18100.0,,10.6,,
,,10.3,,
,,10.2,,
,,10.2,,
,,10.2,,
10500.0,,11.9,,
18000.0,,9.8,,
,,10.1,,
,,10.1,,
,,10.1,,
,,10.0,,
,,11.7,,
17500.0,,9.6,,
,,10.0,,
,,10.0,,
,,10.0,,
,,9.9,,
,,11.4,,
17600.0,,9.0,,
,,9.9,,
,,9.9,,
,,9.9,,
,,9.8,,
,,11.2,,
17800.0,,8.4,,
,,9.8,,
,,9.8,,
,,9.8,,
,,9.8,,
,,10.9,,
17700.0,,7.8,,
,,9.8,,
,,9.7,,
,,9.7,,
,,9.7,,
,,10.6,,
17600.0,,7.6,,
,,9.7,,
,,9.7,,
,,9.6,,
,,9.6,,
,,10.3,,
17700.0,,6.8,,
,,9.6,,
,,9.6,,
,,9.6,,
,,9.6,,
,,9.9,,
17700.0,,6.8,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.7,,
18000.0,,6.6,,
,,9.5,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.6,,
18000.0,,6.2,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.5,,
18100.0,,6.0,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.4,,
18100.0,,6.1,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.4,,
18100.0,,6.3,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.4,,
18100.0,,6.4,,
,,9.5,,
,,19.3,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.4,,
18100.0,,7.0,,
,,9.5,,
,,19.3,,
,,9.5,,
,,9.6,,
,,9.6,,
,,9.4,,
18000.0,,6.9,,
,,9.6,,
,,19.3,,
,,9.6,,
,,9.6,,
,,9.5,,
,,9.4,,
18000.0,,7.0,,
,,9.6,,
,,19.3,,
,,9.5,,
,,9.5,,
,,9.5,,
,,9.3,,
18000.0,,7.0,,
,,9.4,,
,,19.3,,
,,9.4,,
,,9.4,,
,,9.4,,
,,9.2,,
18000.0,,6.9,,
,,9.3,,
,,19.3,,
,,9.3,,
,,9.2,,
,,9.2,,
,,9.1,,
18000.0,,6.8,,
,,9.2,,
,,19.3,,
,,9.2,,
,,9.1,,
,,9.1,,
,,9.1,,
18100.0,,6.6,,
,,9.1,,
,,19.3,,
,,9.1,,
,,9.0,,
,,9.0,,
,,9.4,,
18100.0,,6.7,,
,,9.0,,
,,19.3,,
,,9.0,,
,,8.9,,
,,8.9,,
,,9.5,,
18100.0,,6.6,,
,,8.9,,
,,19.3,,
,,8.9,,
,,8.8,,
,,8.8,,
,,9.3,,
18100.0,,6.6,,
,,8.8,,
,,19.3,,
,,8.8,,
,,8.7,,
,,8.7,,
,,9.5,,
18200.0,,6.6,,
,,8.7,,
,,19.3,,
,,8.7,,
,,8.7,,
,,8.6,,
,,9.3,,
31400.0,,7.0,,
18200.0,,6.2,,
,,8.6,,
,,19.3,,
,,8.6,,
,,8.6,,
,,8.6,,
,,9.6,,
31500.0,,6.8,,
18200.0,,6.3,,
,,8.5,,
,,19.3,,
,,8.5,,
,,8.5,,
,,8.5,,
,,8.8,,
31600.0,,6.8,,
18200.0,,6.2,,
,,8.5,,
,,19.3,,
,,8.5,,
,,8.4,,
,,8.4,,
,,8.8,,
31700.0,,6.8,,
18300.0,,6.2,,
,,8.4,,
,,19.3,,
,,8.4,,
,,8.4,,
,,8.4,,
,,8.7,,
31700.0,,6.8,,
18200.0,,6.5,,
,,8.4,,
,,19.3,,
,,8.4,,
,,8.3,,
,,8.3,,
,,8.6,,
31700.0,,6.9,,
18300.0,,6.5,,
,,8.3,,
,,19.3,,
,,8.3,,
,,8.3,,
,,8.3,,
,,8.9,,
32000.0,,7.2,,
18200.0,,6.7,,
,,8.3,,
,,19.3,,
,,8.3,,
,,8.3,,
,,8.3,,
,,9.0,,
32100.0,,7.1,,
18200.0,,6.9,,
,,8.2,,
,,19.3,,
,,8.2,,
,,8.2,,
,,8.2,,
,,8.9,,
32300.0,,7.2,,
18200.0,,6.7,,
,,8.2,,
,,19.3,,
,,8.2,,
,,8.2,,
,,8.2,,
,,8.8,,
32100.0,,7.2,,
18200.0,,6.7,,
,,8.2,,
,,19.3,,
,,8.2,,
,,8.2,,
,,8.2,,
,,9.1,,
31900.0,,7.2,,
18200.0,,6.8,,
,,8.2,,
,,19.3,,
,,8.2,,
,,8.2,,
,,8.2,,
,,8.9,,
31800.0,,7.2,,
18200.0,,6.8,,
,,8.2,,
,,19.3,,
,,8.2,,
,,8.2,,
,,8.3,,
,,8.9,,
31700.0,,7.4,,
18200.0,,7.0,,
,,8.3,,
,,19.3,,
,,8.3,,
,,8.3,,
,,8.3,,
,,9.0,,
31600.0,,7.7,,
18200.0,,7.2,,
,,8.3,,
,,19.3,,
,,8.3,,
,,8.3,,
,,8.3,,
,,9.0,,
31500.0,,7.7,,
